Turn,SubStep,EventType,Player,OtherPlayer,Value1,Value2,Detail
191,1,WarDeclared,1,0,0,0,War declared
192,0,PeaceMade,0,1,0,0,Peace made
192,1,PeaceMade,1,0,0,0,Peace made
193,0,TechResearched,1,255,21,0,Tech completed
193,1,UnitProduced,3,255,1,0,Unit produced
193,2,UnitProduced,7,255,1,0,Unit produced
195,0,TechResearched,7,255,16,0,Tech completed
197,0,TechResearched,5,255,16,0,Tech completed
199,0,TechResearched,1,255,22,0,Tech completed
199,1,TechResearched,6,255,16,0,Tech completed
